"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2021,177,164,13,0,0,0,0,88,44,19,0,0,0,0,85,92
"Aberdeen, WA","10140",2021,181,178,3,0,0,0,0,80,30,19,0,0,0,0,181,0
"Adjuntas, PR","10260",2021,7,7,0,0,0,0,0,17,17,10,0,0,0,0,7,0
"Adrian, MI","10300",2021,293,240,53,0,0,0,0,93,58,40,0,0,214,0,79,0
"Akron, OH","10420",2021,273,192,78,3,0,0,0,108,70,42,0,0,161,6,106,0
"Albany, GA","10500",2021,229,170,55,4,0,0,0,133,69,38,0,0,0,0,229,0
"Albany, OR","10540",2021,181,160,21,0,0,0,0,75,52,23,0,0,0,0,181,0
"Albany-Schenectady-Troy, NY","10580",2021,273,223,48,2,0,0,0,118,56,38,0,0,190,0,83,0
"Albuquerque, NM","10740",2021,182,48,123,10,1,0,0,152,87,57,1,0,76,0,34,71
"Alexandria, LA","10780",2021,61,61,0,0,0,0,0,49,38,25,0,0,0,0,61,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2021,243,167,72,3,1,0,0,153,75,43,0,4,138,0,101,0
"Altoona, PA","11020",2021,227,174,51,2,0,0,0,120,61,38,0,0,82,9,136,0
"Amarillo, TX","11100",2021,243,170,66,7,0,0,0,121,71,45,0,0,191,29,23,0
"Americus, GA","11140",2021,245,228,17,0,0,0,0,74,49,35,0,0,245,0,0,0
"Anchorage, AK","11260",2021,182,141,38,2,1,0,0,160,58,28,1,0,0,0,115,66
"Ann Arbor, MI","11460",2021,303,244,59,0,0,0,0,100,60,39,0,0,247,0,56,0
"Appleton, WI","11540",2021,181,124,55,2,0,0,0,112,71,40,0,0,76,15,90,0
"Ardmore, OK","11620",2021,262,176,77,9,0,0,0,136,68,45,0,0,148,0,114,0
"Arkadelphia, AR","11660",2021,241,236,5,0,0,0,0,84,45,33,0,0,241,0,0,0
"Asheville, NC","11700",2021,243,185,58,0,0,0,0,93,66,43,0,0,176,16,51,0
"Ashtabula, OH","11780",2021,273,243,28,2,0,0,0,112,51,36,0,0,211,62,0,0
"Athens, OH","11900",2021,83,75,8,0,0,0,0,74,49,22,0,0,0,0,83,0
"Athens, TN","11940",2021,176,164,12,0,0,0,0,69,46,27,0,0,0,0,176,0
"Athens-Clarke County, GA","12020",2021,243,177,65,1,0,0,0,107,62,42,0,0,95,0,148,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2021,304,195,101,8,0,0,0,150,77,46,0,8,177,0,119,0
"Atlantic City-Hammonton, NJ","12100",2021,180,162,18,0,0,0,0,93,51,36,0,0,147,1,32,0
"Augusta-Richmond County, GA-SC","12260",2021,253,159,89,5,0,0,0,145,70,44,0,0,108,7,138,0
"Augusta-Waterville, ME","12300",2021,228,218,9,1,0,0,0,125,46,33,0,0,211,0,17,0
"Austin-Round Rock, TX","12420",2021,213,146,67,0,0,0,0,86,64,43,1,3,107,0,98,4
"Bakersfield, CA","12540",2021,273,89,156,27,1,0,0,152,101,56,0,0,108,0,156,9
