COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
California,2015,Total population,All ages,All ages,"191,904",50.4,
Alameda,2015,Total population,All ages,All ages,"9,939",64.3,
Alpine,2015,Total population,All ages,All ages,0,0,
Amador,2015,Total population,All ages,All ages,196,58.4,
Butte,2015,Total population,All ages,All ages,"1,044",50.2,
Calaveras,2015,Total population,All ages,All ages,185,48,
Colusa,2015,Total population,All ages,All ages,97,41.4,
Contra Costa,2015,Total population,All ages,All ages,"6,858",65.2,
Del Norte,2015,Total population,All ages,All ages,140,53,
El Dorado,2015,Total population,All ages,All ages,592,36.4,
Fresno,2015,Total population,All ages,All ages,"7,936",77,
Glenn,2015,Total population,All ages,All ages,122,42.6,
Humboldt,2015,Total population,All ages,All ages,835,63.4,
Imperial,2015,Total population,All ages,All ages,"1,388",71.2,
Inyo,2015,Total population,All ages,All ages,88,53.5,
Kern,2015,Total population,All ages,All ages,"5,859",62.3,
Kings,2015,Total population,All ages,All ages,"1,250",78.6,
Lake,2015,Total population,All ages,All ages,478,80.4,
Lassen,2015,Total population,All ages,All ages,148,45.3,
Los Angeles,2015,Total population,All ages,All ages,"52,227",53.1,
Madera,2015,Total population,All ages,All ages,"1,031",62.3,
Marin,2015,Total population,All ages,All ages,541,22.2,
Mariposa,2015,Total population,All ages,All ages,79,47.4,
Mendocino,2015,Total population,All ages,All ages,479,57.4,
Merced,2015,Total population,All ages,All ages,"2,425",87.4,
Modoc,2015,Total population,All ages,All ages,53,67.9,
Mono,2015,Total population,All ages,All ages,43,32,
Monterey,2015,Total population,All ages,All ages,"2,194",50.2,
Napa,2015,Total population,All ages,All ages,572,41.9,
Nevada,2015,Total population,All ages,All ages,351,42.8,
Orange,2015,Total population,All ages,All ages,"10,275",33.9,
Placer,2015,Total population,All ages,All ages,"1,125",31.4,
Plumas,2015,Total population,All ages,All ages,99,56.3,
Riverside,2015,Total population,All ages,All ages,"10,111",43.2,
Sacramento,2015,Total population,All ages,All ages,"10,109",69.2,
San Benito,2015,Total population,All ages,All ages,285,50.1,
San Bernardino,2015,Total population,All ages,All ages,"12,761",59.3,
San Diego,2015,Total population,All ages,All ages,"11,646",37,
San Francisco,2015,Total population,All ages,All ages,"3,141",41.3,
San Joaquin,2015,Total population,All ages,All ages,"4,802",66.2,
San Luis Obispo,2015,Total population,All ages,All ages,950,40.1,
San Mateo,2015,Total population,All ages,All ages,"2,695",36.4,
Santa Barbara,2015,Total population,All ages,All ages,"1,734",40.7,
Santa Clara,2015,Total population,All ages,All ages,"6,521",35.1,
Santa Cruz,2015,Total population,All ages,All ages,910,36.5,
Shasta,2015,Total population,All ages,All ages,"1,015",60.5,
Sierra,2015,Total population,All ages,All ages,9,,Rate not available due to statistical instability
Siskiyou,2015,Total population,All ages,All ages,176,47,
Solano,2015,Total population,All ages,All ages,"3,415",83.2,
Sonoma,2015,Total population,All ages,All ages,"1,936",40.2,
Stanislaus,2015,Total population,All ages,All ages,"3,281",60.7,
Sutter,2015,Total population,All ages,All ages,337,34.1,
Tehama,2015,Total population,All ages,All ages,323,52.7,
Trinity,2015,Total population,All ages,All ages,67,60.5,
Tulare,2015,Total population,All ages,All ages,"2,542",51.3,
Tuolumne,2015,Total population,All ages,All ages,257,53.1,
Ventura,2015,Total population,All ages,All ages,"2,933",35.3,
Yolo,2015,Total population,All ages,All ages,852,44.1,
Yuba,2015,Total population,All ages,All ages,346,45.4,
California,2015,Child vs. adult,0–17 years,0–17 years,"74,050",80.6,
Alameda,2015,Child vs. adult,0–17 years,0–17 years,"3,426",96.7,
Alpine,2015,Child vs. adult,0–17 years,0–17 years,0,0,
Amador,2015,Child vs. adult,0–17 years,0–17 years,45,85.1,
Butte,2015,Child vs. adult,0–17 years,0–17 years,308,68.7,
Calaveras,2015,Child vs. adult,0–17 years,0–17 years,46,63,
Colusa,2015,Child vs. adult,0–17 years,0–17 years,48,77,
Contra Costa,2015,Child vs. adult,0–17 years,0–17 years,"2,330",95.2,
Del Norte,2015,Child vs. adult,0–17 years,0–17 years,49,85.2,
El Dorado,2015,Child vs. adult,0–17 years,0–17 years,170,46.8,
